course_code,title,instructor,meeting_times,prerequisites,department,description,source,text
BIOL0610,Modeling Human Disease Using Stem Cells,C. Toth,WF 1-4p,,Biology,"In this COEX and CBLR course, students will have the opportunity to develop their own hypothesis-driven research question with a focus on pluripotent stem cell biology and Alzheimer’s Disease (AD). Understanding how to manipulate pluripotent stem cells is vital in studying normal developmental processes and what goes awry in a disease. Students in this course will propose and carry out their own research project utilizing human iPSCs to further understand pathological cellular states associated with AD using patient lines. The research project will be developed at the beginning of the semester with in-lab work carrying out the proposed set of experiments, analyzing the data and presenting the results in a scientific poster session. Students will also be able to translate the biology of the disease to clinical experiences, community outreach, and patient interactions in the surrounding community. For advanced undergraduates.",CAB,"Modeling Human Disease Using Stem Cells In this COEX and CBLR course, students will have the opportunity to develop their own hypothesis-driven research question with a focus on pluripotent stem cell biology and Alzheimer’s Disease (AD). Understanding how to manipulate pluripotent stem cells is vital in studying normal developmental processes and what goes awry in a disease. Students in this course will propose and carry out their own research project utilizing human iPSCs to further understand pathological cellular states associated with AD using patient lines. The research project will be developed at the beginning of the semester with in-lab work carrying out the proposed set of experiments, analyzing the data and presenting the results in a scientific poster session. Students will also be able to translate the biology of the disease to clinical experiences, community outreach, and patient interactions in the surrounding community. For advanced undergraduates. Biology"
BIOL0620,Fermentation to Publication: Experimental Food Microbiology,P. Belenky,TTh 12-2:20p,,Biology,"To understand the art and science of fermentation, we need to explore the complex interplay of polymicrobial communities, where multiple microbial species interact, collaborate, and compete to produce the final product. This requires both experimental microbiology and computational analysis. In this CURE class, we carry out a novel, scientifically important experiment related to polymicrobial fermentation. We analyze the data using traditional microbiological techniques alongside sequencing and computational methods. Together, we write and submit a manuscript for publication based on our findings. In 2025, for example, the class focused on kimchi and published here: https://www.mdpi.com/2304-8158/14/11/1948 . In addition to the research project, students give presentations on other fermented foods and, for the final project, propose a new experiment to be conducted in the following year’s class. In effect, we go from fermentation all the way to publication in one exciting semester.",CAB,"Fermentation to Publication: Experimental Food Microbiology To understand the art and science of fermentation, we need to explore the complex interplay of polymicrobial communities, where multiple microbial species interact, collaborate, and compete to produce the final product. This requires both experimental microbiology and computational analysis. In this CURE class, we carry out a novel, scientifically important experiment related to polymicrobial fermentation. We analyze the data using traditional microbiological techniques alongside sequencing and computational methods. Together, we write and submit a manuscript for publication based on our findings. In 2025, for example, the class focused on kimchi and published here: https://www.mdpi.com/2304-8158/14/11/1948 . In addition to the research project, students give presentations on other fermented foods and, for the final project, propose a new experiment to be conducted in the following year’s class. In effect, we go from fermentation all the way to publication in one exciting semester. Biology"
BIOL0800,Principles of Physiology,Stein/Achilli,TTh 10:30-11:50a,,Biology,"Introduction to the function of organ systems with an emphasis on human physiology, includes basic concepts in cell and organ system physiology as well as fundamentals of modern trends in physiological science, emphasizes the application of physical and chemical principles to organ function at both the cellular and systemic levels. Expected: BIOL 0200 or equivalent.",CAB,"Principles of Physiology Introduction to the function of organ systems with an emphasis on human physiology, includes basic concepts in cell and organ system physiology as well as fundamentals of modern trends in physiological science, emphasizes the application of physical and chemical principles to organ function at both the cellular and systemic levels. Expected: BIOL 0200 or equivalent. Biology"
BIOL1040,Bioimaging,G. Williams,M 2-5p,,Biology,"This course examines microscopy and image analysis in the life sciences. Theoretical and practical aspects of microscopy will be discussed. Students will obtain hands-on experience with electron microscopy, light microscopy, fluorescence microscopy, and confocal microscopy. Students will learn to display images in 3D. Advanced undergraduates. Instructor permission required.",CAB,"Bioimaging This course examines microscopy and image analysis in the life sciences. Theoretical and practical aspects of microscopy will be discussed. Students will obtain hands-on experience with electron microscopy, light microscopy, fluorescence microscopy, and confocal microscopy. Students will learn to display images in 3D. Advanced undergraduates. Instructor permission required. Biology"
BIOL1100,Cell Physiology and Biophysics,,,,Biology,"Current topics in cell physiology, with an emphasis on membrane-mediated interactions between cells and their environment. Topics may include: ion channel structure, function and regulation; intracellular regulatory molecules; mechanisms of sensory transduction; membrane receptors and second messenger systems; vesicle secretion; and cytoskeletal regulation of cell function. Lectures, discussion, and student presentations of the current literature. Expected: BIOL 0800 or NEUR 0010. Instructor permission required. Enrollment limited to 30, and admission is based on seniority -- graduate students, seniors, then juniors. (Not for first and second-year undergraduates.) Students must request an override code through C@B.",BULLETIN,"Cell Physiology and Biophysics Current topics in cell physiology, with an emphasis on membrane-mediated interactions between cells and their environment. Topics may include: ion channel structure, function and regulation; intracellular regulatory molecules; mechanisms of sensory transduction; membrane receptors and second messenger systems; vesicle secretion; and cytoskeletal regulation of cell function. Lectures, discussion, and student presentations of the current literature. Expected: BIOL 0800 or NEUR 0010. Instructor permission required. Enrollment limited to 30, and admission is based on seniority -- graduate students, seniors, then juniors. (Not for first and second-year undergraduates.) Students must request an override code through C@B. Biology"
BIOL1140,Tissue Engineering,,,,Biology,"Tissue engineering is an interdisciplinary field that incorporates progress in cellular and molecular biology, materials science, and engineering, to advance the goal of replacing or regenerating compromised tissue function. Using an integrative approach, we will examine tissue design and development, manipulation of the tissue microenvironment, and current strategies for functional reconstruction of injured tissues. Expected: CHEM 0330, plus BIOL 0500 or 0800. Enrollment limited to 20. Instructor permission required.",BULLETIN,"Tissue Engineering Tissue engineering is an interdisciplinary field that incorporates progress in cellular and molecular biology, materials science, and engineering, to advance the goal of replacing or regenerating compromised tissue function. Using an integrative approach, we will examine tissue design and development, manipulation of the tissue microenvironment, and current strategies for functional reconstruction of injured tissues. Expected: CHEM 0330, plus BIOL 0500 or 0800. Enrollment limited to 20. Instructor permission required. Biology"
BIOL1150,Stem Cell Engineering,E. Darling,Th 3-5:30p,,Biology,"Stem cell engineering focuses on using adult, embryonic, and induced pluripotent stem cells to repair damaged or diseased tissues. This course will examine the role of stem cells in development, tissue homeostasis, and wound healing, as well as how they can be used for tissue engineering and cell-based regenerative therapies. We will also discuss the ethical, legal, and regulatory issues that accompany current and emerging stem cell engineering endeavors. The course will use an inverted lecture and classroom discussion format to effectively deliver relevant information. Emphasis is placed on oral and written communication skills applied to assignments, tests, and individual projects. As an additional part of this course, students will receive hands-on training in how to culture cells and assess samples for stemness characteristics in a group laboratory setting.",CAB,"Stem Cell Engineering Stem cell engineering focuses on using adult, embryonic, and induced pluripotent stem cells to repair damaged or diseased tissues. This course will examine the role of stem cells in development, tissue homeostasis, and wound healing, as well as how they can be used for tissue engineering and cell-based regenerative therapies. We will also discuss the ethical, legal, and regulatory issues that accompany current and emerging stem cell engineering endeavors. The course will use an inverted lecture and classroom discussion format to effectively deliver relevant information. Emphasis is placed on oral and written communication skills applied to assignments, tests, and individual projects. As an additional part of this course, students will receive hands-on training in how to culture cells and assess samples for stemness characteristics in a group laboratory setting. Biology"
BIOL1155,Hormones and Behavior,M. Fuxjager,TTh 9-10:20a,,Biology,"This class will explore the hormonal basis of animal behavior. We will assess this relationship at the molecular, cellular, physiological, and evolutionary levels, focusing on a wide range of species beyond humans. Our goal is to understand the diverse mechanisms by which hormones act throughout the animal body to mediate what individuals do in their natural environment. We will explore how selective forces shape these mechanisms to not only arrive at common behavior traits, but also unique and unusual traits that allow species to thrive in harsh or extreme environments.",CAB,"Hormones and Behavior This class will explore the hormonal basis of animal behavior. We will assess this relationship at the molecular, cellular, physiological, and evolutionary levels, focusing on a wide range of species beyond humans. Our goal is to understand the diverse mechanisms by which hormones act throughout the animal body to mediate what individuals do in their natural environment. We will explore how selective forces shape these mechanisms to not only arrive at common behavior traits, but also unique and unusual traits that allow species to thrive in harsh or extreme environments. Biology"
BIOL1250,Host-microbiome Interactions in Health and Disease,S. Vaishnava,Th 2-4:30p,,Biology,"Will focus on current understanding of how various microbiomes communicate and interact with the host and the factors that influence these interactions. We will discuss how the new technologies such as metagenomics and metabolomics have enhanced our understanding of host-microbiome interactions in health and disease. Students will have the opportunity to participate in discussions on how to apply recent discoveries to disease processes, health restoration and maintenance. The course will help students develop skills in critical thinking and in reading and evaluating original scientific literature. Expected: students with a background in basic microbiology ( BIOL 0530 or its equivalent). 20 enrollment.",CAB,"Host-microbiome Interactions in Health and Disease Will focus on current understanding of how various microbiomes communicate and interact with the host and the factors that influence these interactions. We will discuss how the new technologies such as metagenomics and metabolomics have enhanced our understanding of host-microbiome interactions in health and disease. Students will have the opportunity to participate in discussions on how to apply recent discoveries to disease processes, health restoration and maintenance. The course will help students develop skills in critical thinking and in reading and evaluating original scientific literature. Expected: students with a background in basic microbiology ( BIOL 0530 or its equivalent). 20 enrollment. Biology"
BIOL1295,Fundamentals of Cancer Immunotherapy,S. Lawler,MW 3-4:20p,,Biology,"Fundamentals of Cancer Immunotherapy focus on how are understanding of the relationship of cancer with the host immune system has allowed the development of a new generation of therapies. The course will be delivered by lecture/seminar and group discussions. The course covers contemporary knowledge of tumor-immune cell interactions, and the principles of immunotherapeutic approaches currently being applied in the clinic and in development. The course is designed so that students will view cancer immunotherapy through a range of different lenses; from intricate molecular details to cellular ecosystems and organismal effects. Lecture materials will provide detailed descriptions of the basic concepts involved and original research articles will be used to help develop critical thinking in the cancer immunotherapy field. Recommended Prerequisites: At least two of the following or their equivalents: BIOL 0280 , BIOL 0500 , BIOL 0470 , BIOL 0530 , BIOL 1290",CAB,"Fundamentals of Cancer Immunotherapy Fundamentals of Cancer Immunotherapy focus on how are understanding of the relationship of cancer with the host immune system has allowed the development of a new generation of therapies. The course will be delivered by lecture/seminar and group discussions. The course covers contemporary knowledge of tumor-immune cell interactions, and the principles of immunotherapeutic approaches currently being applied in the clinic and in development. The course is designed so that students will view cancer immunotherapy through a range of different lenses; from intricate molecular details to cellular ecosystems and organismal effects. Lecture materials will provide detailed descriptions of the basic concepts involved and original research articles will be used to help develop critical thinking in the cancer immunotherapy field. Recommended Prerequisites: At least two of the following or their equivalents: BIOL 0280 , BIOL 0500 , BIOL 0470 , BIOL 0530 , BIOL 1290 Biology"
BIOL1330,Biology of Reproduction,G. Wessel,M 3-5:30p,,Biology,"This course is an advanced, seminar-based course. Primary literature is emphasized to complement the format of extensive student seminar presentations. It is essential that students have a strong background in biology in order to gain the most from this course. The emphasis of the course is student seminar presentation and extensive discussion on the material. This is often the first opportunity for students to present/discuss science in a seminar format. Expected background: a course in Cell Biology (e.g. BIOL 0500 or 1050 ), and two additional Biology courses above the introductory ( BIOL 0200 ) level. Enrollment limited to 20.",CAB,"Biology of Reproduction This course is an advanced, seminar-based course. Primary literature is emphasized to complement the format of extensive student seminar presentations. It is essential that students have a strong background in biology in order to gain the most from this course. The emphasis of the course is student seminar presentation and extensive discussion on the material. This is often the first opportunity for students to present/discuss science in a seminar format. Expected background: a course in Cell Biology (e.g. BIOL 0500 or 1050 ), and two additional Biology courses above the introductory ( BIOL 0200 ) level. Enrollment limited to 20. Biology"
BIOL1435,Computational Methods for Studying Demographic History with Molecular Data,E. Huerta-Sanchez,TTh 10:30-11:50a,,Biology,"This course broadly covers the field of population genetics and genomics, and focuses on how inferences about demographic history can be made from genetic variation observed across populations today. The main question we will endeavor to answer in class is “How can we infer demographic history in a population using next-generation sequencing data?” Students will also learn how to apply computational tools/methods to infer demographic history using both simulated and real DNA sequencing data.",CAB,"Computational Methods for Studying Demographic History with Molecular Data This course broadly covers the field of population genetics and genomics, and focuses on how inferences about demographic history can be made from genetic variation observed across populations today. The main question we will endeavor to answer in class is “How can we infer demographic history in a population using next-generation sequencing data?” Students will also learn how to apply computational tools/methods to infer demographic history using both simulated and real DNA sequencing data. Biology"
BIOL1515,Conservation in the Genomics Age,,,,Biology,"The course will introduce students to the rapidly developing field of molecular ecology, emphasizing its importance for conservation biology. Students will explore key principles in evolutionary ecology based on readings, lectures, and discussions. Participants will also gain practical experience with ecological, genomic, and computational methods in the lab. This course is intended for advanced undergraduate and graduate students. Suggested prerequisites include Principles of Ecology (0420); Evolutionary Biology (0480) or Genetics (0470); the Lab Techniques Workshop for Biology Students provided by MDL; or similar with permission. Students will obtain permission from the professor to enroll.",BULLETIN,"Conservation in the Genomics Age The course will introduce students to the rapidly developing field of molecular ecology, emphasizing its importance for conservation biology. Students will explore key principles in evolutionary ecology based on readings, lectures, and discussions. Participants will also gain practical experience with ecological, genomic, and computational methods in the lab. This course is intended for advanced undergraduate and graduate students. Suggested prerequisites include Principles of Ecology (0420); Evolutionary Biology (0480) or Genetics (0470); the Lab Techniques Workshop for Biology Students provided by MDL; or similar with permission. Students will obtain permission from the professor to enroll. Biology"
BIOL1525,"Pathogenomics: Analysis, interpretation and applications of microbial genomes",Siddle/Cuomo,TTh 10:30-11:50a,,Biology,"Pathogen genomes offer a wealth of information—from the discovery of new gene functions to helping to pinpoint the source of a food borne disease outbreak—and have become an increasingly widespread tool in microbiology in recent years. This course will introduce the fundamentals of genome sequencing and analysis for the study of microbial pathogens, and discuss current applications of these techniques in diverse microbial taxa (viruses, bacteria, fungi and parasites). In addition to lectures, the course will include hands-on computational analysis of pathogen genomic data in which students will learn how to analyze genomic data and apply these skills to an independent project investigating a novel question using a publicly available genomic dataset. Students should have taken introductory courses in genetics or microbiology (either BIOL0470 or BIOL0510) and computing in a unix environment prior to enrolling in this class.",CAB,"Pathogenomics: Analysis, interpretation and applications of microbial genomes Pathogen genomes offer a wealth of information—from the discovery of new gene functions to helping to pinpoint the source of a food borne disease outbreak—and have become an increasingly widespread tool in microbiology in recent years. This course will introduce the fundamentals of genome sequencing and analysis for the study of microbial pathogens, and discuss current applications of these techniques in diverse microbial taxa (viruses, bacteria, fungi and parasites). In addition to lectures, the course will include hands-on computational analysis of pathogen genomic data in which students will learn how to analyze genomic data and apply these skills to an independent project investigating a novel question using a publicly available genomic dataset. Students should have taken introductory courses in genetics or microbiology (either BIOL0470 or BIOL0510) and computing in a unix environment prior to enrolling in this class. Biology"
BIOL1530,Emergency Medical Systems: An Anatomy of Critical Performance,Becker/Pulvino,W 3-5:30p,,Biology,"Students taking BIOL 1530 will explore Emergency Medicine and the many subjects that make up the practice of providing care to patients at the most critical and dire moments of their lives. We will read, discuss, and write about Trauma, Medical Malpractice, Death and Dying, Refugee and Disaster Medicine, Interpersonal Violence, and Crisis focused Medical Ethics, among others, all viewed through the lens of Emergency Medicine. You will shadow in the Emergency Department of a Trauma Center and debrief with your TA’s in weekly meetings, where the class topics will be discussed in open forums. This class, formerly PHP1520, has created a transformative experience for more than 30 years and will continue to foster new perspectives and ideas for every student who participates.",CAB,"Emergency Medical Systems: An Anatomy of Critical Performance Students taking BIOL 1530 will explore Emergency Medicine and the many subjects that make up the practice of providing care to patients at the most critical and dire moments of their lives. We will read, discuss, and write about Trauma, Medical Malpractice, Death and Dying, Refugee and Disaster Medicine, Interpersonal Violence, and Crisis focused Medical Ethics, among others, all viewed through the lens of Emergency Medicine. You will shadow in the Emergency Department of a Trauma Center and debrief with your TA’s in weekly meetings, where the class topics will be discussed in open forums. This class, formerly PHP1520, has created a transformative experience for more than 30 years and will continue to foster new perspectives and ideas for every student who participates. Biology"
BIOL1540,Molecular Genetics,Y. Huang,TTh 2:30-3:50p,,Biology,"Even in this era when whole genome DNA sequencing has become routine, there are still thousands of eukaryotic genes with unknown functions. Genetic screens for mutations that alter pathways of interest remain the premier approach to understanding gene function in the context of the organism. In Molecular Genetics students will learn the key concepts involved in designing and interpreting genetic screens using the powerful tools available in model animal, plant, and fungal organisms. Students will also learn how to understand and analyze results presented in the primary scientific literature. Furthermore, students will gain an appreciation of how the field of genetics has changed through discoveries and technological advances made over the past 50 years. Graduate students should register for BIOL 2540 .",CAB,"Molecular Genetics Even in this era when whole genome DNA sequencing has become routine, there are still thousands of eukaryotic genes with unknown functions. Genetic screens for mutations that alter pathways of interest remain the premier approach to understanding gene function in the context of the organism. In Molecular Genetics students will learn the key concepts involved in designing and interpreting genetic screens using the powerful tools available in model animal, plant, and fungal organisms. Students will also learn how to understand and analyze results presented in the primary scientific literature. Furthermore, students will gain an appreciation of how the field of genetics has changed through discoveries and technological advances made over the past 50 years. Graduate students should register for BIOL 2540 . Biology"
BIOL1550,Parasitism: Biology and Disease,C. de Graffenried,MWF 11-11:50a,,Biology,"Protozoan parasites influence the health of human populations in less developed countries, leading to severe human suffering and loss of economic development. Understanding the fundamental biology of these pathogens and how they are transmitted is essential for developing treatments and mitigation strategies to improve human health. Focuses on biochemical, genetic, cellular, and immunological aspects of parasite and host responses. Expected: BIOL 0470 or BIOL 0530 . This course was formerly ""Biology of Emerging Microbial Diseases""",CAB,"Parasitism: Biology and Disease Protozoan parasites influence the health of human populations in less developed countries, leading to severe human suffering and loss of economic development. Understanding the fundamental biology of these pathogens and how they are transmitted is essential for developing treatments and mitigation strategies to improve human health. Focuses on biochemical, genetic, cellular, and immunological aspects of parasite and host responses. Expected: BIOL 0470 or BIOL 0530 . This course was formerly ""Biology of Emerging Microbial Diseases"" Biology"
BIOL1555,Methods in Informatics and Data Science for Health,Chen/Sarkar,M 3-5:30p,,Biology,"The goal of this course is for students to develop a solution that uses data science and informatics approaches to address a biomedical or health challenge. This course will teach informatics and data science skills needed for public health and biomedicine research. Emphasis will be given to algorithms used within the context of biomedical research and health care, including those used in biomolecular sequence analysis, electronic health records, clinical decision support, and public health surveillance. This course has been developed as a Course-based Undergraduate Research Experience (CURE), where students will gain experience with the scientific method, its application, and presentation.",CAB,"Methods in Informatics and Data Science for Health The goal of this course is for students to develop a solution that uses data science and informatics approaches to address a biomedical or health challenge. This course will teach informatics and data science skills needed for public health and biomedicine research. Emphasis will be given to algorithms used within the context of biomedical research and health care, including those used in biomolecular sequence analysis, electronic health records, clinical decision support, and public health surveillance. This course has been developed as a Course-based Undergraduate Research Experience (CURE), where students will gain experience with the scientific method, its application, and presentation. Biology"
BIOL1565,Survey of Biomedical Informatics,,,,Biology,"Survey course provides overview of field of biomedical informatics. Topics include computer science, healthcare, biology, social science. This course is designed to be complementary to BIOL 1555. Emphasis given to understanding the organization of biomedical information, effective management of information using computer technology, impact of such technology on biomedical research, education, patient care. Major aim explores the process of developing and applying computational and information science techniques for assessing current information practices, determining information needs of health care providers and patients, developing interventions or supporting clinical practice using informatics, and evaluating the impact of informatics solutions from a biomedical perspective.",BULLETIN,"Survey of Biomedical Informatics Survey course provides overview of field of biomedical informatics. Topics include computer science, healthcare, biology, social science. This course is designed to be complementary to BIOL 1555. Emphasis given to understanding the organization of biomedical information, effective management of information using computer technology, impact of such technology on biomedical research, education, patient care. Major aim explores the process of developing and applying computational and information science techniques for assessing current information practices, determining information needs of health care providers and patients, developing interventions or supporting clinical practice using informatics, and evaluating the impact of informatics solutions from a biomedical perspective. Biology"
BIOL1575,Evaluation of Health Information Systems,,,,Biology,"This course covers the field of evaluation of health information systems (HIS) in a range of roles and environments, in the US and worldwide. It includes topics in health information system (HIS) design and deployment, healthcare workflow, quantitative and qualitative evaluation methods and socio-technical environment for HIS. Emphasis is given to understanding the range of evaluation questions that can be asked, identifying the key stakeholders, understanding available evaluation techniques, and designing rigorous but achievable studies. Examples will include Open Source systems, medical Apps, and economic evaluation, the role of evaluation frameworks and theories, and notable HIS successes and failures. Recommended: past or concurrent enrollment BIOL 1565 or a public health course covering clinical research.",BULLETIN,"Evaluation of Health Information Systems This course covers the field of evaluation of health information systems (HIS) in a range of roles and environments, in the US and worldwide. It includes topics in health information system (HIS) design and deployment, healthcare workflow, quantitative and qualitative evaluation methods and socio-technical environment for HIS. Emphasis is given to understanding the range of evaluation questions that can be asked, identifying the key stakeholders, understanding available evaluation techniques, and designing rigorous but achievable studies. Examples will include Open Source systems, medical Apps, and economic evaluation, the role of evaluation frameworks and theories, and notable HIS successes and failures. Recommended: past or concurrent enrollment BIOL 1565 or a public health course covering clinical research. Biology"
BIOL1580,Metabolism Across Biological Scales: Integrative Physiology and Pathobiology,K. Chellappa,TTh 2:30-3:50p,,Biology,"Metabolism is a fundamental biological process encompassing all chemical reactions in the human body. The genetic diversity of trillions of microorganisms that live in and on the host further enhances the chemical diversity in mammals. Metabolic perturbation underlies almost all human diseases. Recent advances in analytical tools such as high-resolution mass spectrometry and imaging mass spectrometry, the use of stable isotope tracing and metabolic flux analysis, as well as the development of genetically encoded sensors and mathematical modeling have provided critical insights into mammalian biology in health and diseases. This course provides historical perspectives and explores recent advances in various metabolism-related topics. It is designed to be interactive and includes guest lectures from renowned scientists and learning modules to develop skills in creative writing, critical thinking, science communication, and artistic expression.",CAB,"Metabolism Across Biological Scales: Integrative Physiology and Pathobiology Metabolism is a fundamental biological process encompassing all chemical reactions in the human body. The genetic diversity of trillions of microorganisms that live in and on the host further enhances the chemical diversity in mammals. Metabolic perturbation underlies almost all human diseases. Recent advances in analytical tools such as high-resolution mass spectrometry and imaging mass spectrometry, the use of stable isotope tracing and metabolic flux analysis, as well as the development of genetically encoded sensors and mathematical modeling have provided critical insights into mammalian biology in health and diseases. This course provides historical perspectives and explores recent advances in various metabolism-related topics. It is designed to be interactive and includes guest lectures from renowned scientists and learning modules to develop skills in creative writing, critical thinking, science communication, and artistic expression. Biology"
BIOL1595,Artificial Intelligence in Health Care,N. Sarkar,W 3-5:30p,,Biology,"This course will teach the fundamental theory and methods of artificial intelligence (AI) alongside their application to the biomedical domain. It will give a representative overview of traditional methods as well as modern developments in the areas of (deep) machine learning, natural language processing and information retrieval. The course is designed to be accessible to non-computer science audiences and will not require extensive prior programming experience. The course will be accompanied by practical assignments applying the discussed techniques in a biomedical context. Understanding of formal theoretical knowledge will be assessed in a final exam. The course is designed for students concentrating in domains such as Computational Biology and Applied Mathematics-Biology; or Neuroscience concentrators who have completed a course in introductory statistics (e.g., BIOL 0495 ).",CAB,"Artificial Intelligence in Health Care This course will teach the fundamental theory and methods of artificial intelligence (AI) alongside their application to the biomedical domain. It will give a representative overview of traditional methods as well as modern developments in the areas of (deep) machine learning, natural language processing and information retrieval. The course is designed to be accessible to non-computer science audiences and will not require extensive prior programming experience. The course will be accompanied by practical assignments applying the discussed techniques in a biomedical context. Understanding of formal theoretical knowledge will be assessed in a final exam. The course is designed for students concentrating in domains such as Computational Biology and Applied Mathematics-Biology; or Neuroscience concentrators who have completed a course in introductory statistics (e.g., BIOL 0495 ). Biology"
BIOL1600,Development of Vaccines to Infectious Diseases,L. Beura,MW 3-4:20p,,Biology,"Provides background steps involved in vaccine development, from conceptualization to production to deployment. Considers infectious diseases and associated vaccines in context of community health. Appropriate for students wanting to gain an understanding of vaccine science. Provides a foundation for advanced courses in immunology and infectious disease, biomedical research, or medical/graduate studies. Activities include a weekly section meeting for discussion of relevant primary literature, and a final project of the student’s choice in the form of an in–class presentation, a research paper or an approved alternative format. Expected: BIOL 0200 or equivalent placement; BIOL 0530 , and at least one additional biology course.",CAB,"Development of Vaccines to Infectious Diseases Provides background steps involved in vaccine development, from conceptualization to production to deployment. Considers infectious diseases and associated vaccines in context of community health. Appropriate for students wanting to gain an understanding of vaccine science. Provides a foundation for advanced courses in immunology and infectious disease, biomedical research, or medical/graduate studies. Activities include a weekly section meeting for discussion of relevant primary literature, and a final project of the student’s choice in the form of an in–class presentation, a research paper or an approved alternative format. Expected: BIOL 0200 or equivalent placement; BIOL 0530 , and at least one additional biology course. Biology"
BIOL1610,Experimental Neurobiology,J. Stein,W 1-6p,,Biology,"Please see NEUR1600 for registration instructions. Intensive laboratory experience in neuroscience appropriate for students with basic background in Neurobiology. Learn and employ the classical neurophysiological techniques of extracellular recording, intracellular recording and receptive field mapping using a variety of animal species. Experiments will include recording of sensory signals in the cockroach leg; frog sciatic nerve and sciatic nerve/muscle preparation; intracellular recording of neurons in Aplysia; receptive field mapping in frog skin; and visual field mapping in the frog tectum. Instruction on and practice of effective science writing is another component to this course. Labs are supplemented by informal lectures. Enrollment limited to 18.",CAB,"Experimental Neurobiology Please see NEUR1600 for registration instructions. Intensive laboratory experience in neuroscience appropriate for students with basic background in Neurobiology. Learn and employ the classical neurophysiological techniques of extracellular recording, intracellular recording and receptive field mapping using a variety of animal species. Experiments will include recording of sensory signals in the cockroach leg; frog sciatic nerve and sciatic nerve/muscle preparation; intracellular recording of neurons in Aplysia; receptive field mapping in frog skin; and visual field mapping in the frog tectum. Instruction on and practice of effective science writing is another component to this course. Labs are supplemented by informal lectures. Enrollment limited to 18. Biology"
BIOL1810,21st Century Applications in Cell and Molecular Biology,M. Dawson,MWF 10-10:50a,,Biology,"Twenty-first century applications in cell and molecular biology focuses on the structure and function of macromolecules and cells and how they are altered in disease and therapy. This course will explore physical principles underlying cell function, along with biophysical approaches for solving problems of cell and molecular biology. Cutting-edge molecular and cellular-based therapeutics will be discussed throughout this course; this includes viral gene delivery constructs, novel platforms for tissue engineering, CRISPR genome editing, and immune checkpoint therapy. This course is particularly suitable for undergraduate students interested in basic medical research, graduate school, or research-based careers in biotechnology or pharmaceutical industry.",CAB,"21st Century Applications in Cell and Molecular Biology Twenty-first century applications in cell and molecular biology focuses on the structure and function of macromolecules and cells and how they are altered in disease and therapy. This course will explore physical principles underlying cell function, along with biophysical approaches for solving problems of cell and molecular biology. Cutting-edge molecular and cellular-based therapeutics will be discussed throughout this course; this includes viral gene delivery constructs, novel platforms for tissue engineering, CRISPR genome editing, and immune checkpoint therapy. This course is particularly suitable for undergraduate students interested in basic medical research, graduate school, or research-based careers in biotechnology or pharmaceutical industry. Biology"
BIOL1820,Environmental Health and Disease,,,,Biology,"Humans live, work, and play in complex chemical environments. BIOL1820 examines how environmental exposures impact health and contribute to disease. We will discuss contamination in the context of colonialism and capitalism as well as critically assess the ways society shapes science as a discipline. The course covers basic concepts in toxicology, physiology, and molecular biology and is divided into 6 units. The first unit, Science, Society, and Scientific Funding, will introduce you to the main themes of the course. The remainder of the course will be divided into the following units: radiation, lead, per- and polyfluoroalkyl substances (PFAS), endocrine disruptors, and emerging environmental concerns. For each unit, students will learn how contamination affects different communities and examine the biological systems impacted by contaminant exposure. BIOL1820 is designed for third and forth year undergraduates, and is open to others with permission.",BULLETIN,"Environmental Health and Disease Humans live, work, and play in complex chemical environments. BIOL1820 examines how environmental exposures impact health and contribute to disease. We will discuss contamination in the context of colonialism and capitalism as well as critically assess the ways society shapes science as a discipline. The course covers basic concepts in toxicology, physiology, and molecular biology and is divided into 6 units. The first unit, Science, Society, and Scientific Funding, will introduce you to the main themes of the course. The remainder of the course will be divided into the following units: radiation, lead, per- and polyfluoroalkyl substances (PFAS), endocrine disruptors, and emerging environmental concerns. For each unit, students will learn how contamination affects different communities and examine the biological systems impacted by contaminant exposure. BIOL1820 is designed for third and forth year undergraduates, and is open to others with permission. Biology"
BIOL1840,Epigenetics in Health and Disease,M. Martinez Moreno,Th 4-6:30p,,Biology,"In this course, students will explore an alternative perspective on genetic regulation beyond basic Mendelian genetics. If we share the same genetic content, why are our cells different, and why do they perform distinct functions? Why do some diseases profoundly affect gene regulation without a genetic mutation to explain them? The epigenome, a dynamic layer of information associated with genetic material (beyond DNA), plays a crucial role in creating genetic diversity. This course will examine epigenetic mechanisms, their regulation, and their impact on various biological layers, from cellular processes to diseases, brain circuits, psychological disorders, and social behavior. While the primary focus will be on human health and disease, students will also explore non-human case studies, investigating a range of organisms, including plants and animals, to demonstrate the diversity and complexity of epigenetic mechanisms.",CAB,"Epigenetics in Health and Disease In this course, students will explore an alternative perspective on genetic regulation beyond basic Mendelian genetics. If we share the same genetic content, why are our cells different, and why do they perform distinct functions? Why do some diseases profoundly affect gene regulation without a genetic mutation to explain them? The epigenome, a dynamic layer of information associated with genetic material (beyond DNA), plays a crucial role in creating genetic diversity. This course will examine epigenetic mechanisms, their regulation, and their impact on various biological layers, from cellular processes to diseases, brain circuits, psychological disorders, and social behavior. While the primary focus will be on human health and disease, students will also explore non-human case studies, investigating a range of organisms, including plants and animals, to demonstrate the diversity and complexity of epigenetic mechanisms. Biology"
